receive_city_name,receive_address_lng,receive_address_lat
1,114.3285512,30.38156422
2,114.0681322,30.61835194
3,114.0395834,30.45444369
4,114.3797389,30.35780415
5,114.0881189,30.63116859
6,114.05366,30.47552067
7,114.3608286,30.60067315
8,114.3202078,30.35390491
9,114.2462835,30.63196821
10,114.0343294,30.58829316
11,114.4108434,30.6437327
12,114.1681682,30.50281644
13,114.4456391,30.49917393
14,114.7164713,30.78473872
15,114.3075614,30.62373763
16,114.272879,30.63476614
17,114.1789034,30.34451505
18,114.1599958,30.63512335
19,114.5227538,30.52955706
20,114.402939,30.62805799
21,114.2065993,30.60083717
22,114.0245764,30.45850651
23,114.2731715,30.61355212
24,114.1313199,30.62037078
25,114.4034008,30.49841195
26,114.3155739,30.53751391
27,114.3225485,30.55956698
28,114.6210101,30.49578794
29,114.3649437,30.53091418
30,114.4100026,30.64072179
31,114.2843843,30.71365542
32,114.1758124,30.66673442
33,114.2947456,30.61218389
34,114.1434587,30.62591982
35,114.3280238,30.37011599
36,114.2065993,30.60083717
37,114.0343294,30.58829316
38,114.3827033,30.63238926
39,114.3357125,30.54009285
40,114.351862,30.55346458
41,114.326985,30.50986364
42,114.2774041,30.62655493
43,114.2462835,30.63196821
44,114.3050374,30.60056076
45,114.2771932,30.63820599
46,114.4560658,30.45196419
47,114.3069283,30.54856067
48,114.3155739,30.53751391
49,114.3866121,30.87749554
50,114.1165352,30.62734364
51,114.3435743,30.50790905
52,114.319487,30.56321949
53,114.3106409,30.50261169
54,114.2584265,30.54611274
55,114.3225485,30.55956698
56,114.3240772,30.65942497
57,114.1599958,30.63512335
58,114.2524027,30.55350097
59,114.3269227,30.37276212
60,114.382454,30.88753377
61,114.3225485,30.55956698
62,114.4369148,30.43548526
63,114.3702939,30.61660663
64,114.3586259,30.59082028
65,114.3884981,30.62372324
